iter	Passed	Remaining
750	8740	2898
751	8749	2885
752	8757	2872
753	8765	2859
754	8774	2847
755	8781	2834
756	8789	2821
757	8797	2808
758	8806	2796
759	8815	2783
760	8824	2771
761	8830	2758
762	8839	2745
763	8846	2732
764	8855	2720
765	8862	2707
766	8871	2694
767	8878	2682
768	8885	2669
769	8893	2656
770	8900	2643
771	8908	2631
772	8916	2618
773	8925	2606
774	8938	2595
775	8950	2583
776	8971	2574
777	8982	2563
778	8991	2550
779	8998	2538
780	9007	2525
781	9015	2513
782	9024	2500
783	9031	2488
784	9039	2475
785	9046	2462
786	9054	2450
787	9061	2437
788	9069	2425
789	9077	2413
790	9087	2401
791	9095	2388
792	9104	2376
793	9111	2363
794	9120	2351
795	9127	2339
796	9136	2327
797	9143	2314
798	9152	2302
799	9159	2289
800	9168	2277
801	9175	2265
802	9184	2253
803	9191	2240
804	9201	2228
805	9211	2217
806	9224	2206
807	9235	2194
808	9247	2183
809	9257	2171
810	9267	2159
811	9279	2148
812	9289	2136
813	9299	2125
814	9313	2114
815	9322	2102
816	9330	2090
817	9338	2077
818	9347	2065
819	9355	2053
820	9365	2041
821	9375	2030
822	9386	2018
823	9404	2008
824	9419	1998
825	9435	1987
826	9452	1977
827	9467	1966
828	9477	1954
829	9485	1942
830	9495	1931
831	9503	1918
832	9512	1906
833	9519	1894
834	9529	1882
835	9536	1870
836	9545	1858
837	9553	1846
838	9563	1835
839	9574	1823
840	9582	1811
841	9591	1799
842	9599	1787
843	9609	1776
844	9617	1764
845	9626	1752
846	9634	1740
847	9643	1728
848	9651	1716
849	9660	1704
850	9670	1693
851	9678	1681
852	9689	1669
853	9700	1658
854	9711	1646
855	9720	1635
856	9728	1623
857	9737	1611
858	9745	1599
859	9756	1588
860	9764	1576
861	9775	1564
862	9785	1553
863	9793	1541
864	9803	1530
865	9810	1518
866	9819	1506
867	9828	1494
868	9841	1483
869	9858	1473
870	9874	1462
871	9889	1451
872	9904	1440
873	9913	1429
874	9921	1417
875	9928	1405
876	9938	1393
877	9949	1382
878	9958	1370
879	9967	1359
880	9980	1348
881	9988	1336
882	9998	1324
883	10006	1313
884	10015	1301
885	10023	1289
886	10032	1278
887	10040	1266
888	10049	1254
889	10057	1243
890	10066	1231
891	10073	1219
892	10083	1208
893	10090	1196
894	10099	1184
895	10108	1173
896	10116	1161
897	10124	1150
898	10132	1138
899	10141	1126
900	10149	1115
901	10160	1103
902	10169	1092
903	10178	1080
904	10192	1069
905	10202	1058
906	10211	1047
907	10220	1035
908	10235	1024
909	10254	1014
910	10275	1003
911	10294	993
912	10316	983
913	10341	973
914	10356	962
915	10369	950
916	10380	939
917	10396	928
918	10411	917
919	10422	906
920	10432	894
921	10445	883
922	10455	872
923	10463	860
924	10473	849
925	10482	837
926	10491	826
927	10499	814
928	10508	803
929	10515	791
930	10525	780
931	10533	768
932	10543	757
933	10551	745
934	10558	734
935	10566	722
936	10574	710
937	10582	699
938	10591	688
939	10600	676
940	10608	665
941	10616	653
942	10624	642
943	10632	630
944	10639	619
945	10648	607
946	10655	596
947	10662	584
948	10670	573
949	10677	561
950	10686	550
951	10696	539
952	10704	527
953	10714	516
954	10721	505
955	10729	493
956	10736	482
957	10744	471
958	10752	459
959	10759	448
960	10767	436
961	10775	425
962	10784	414
963	10791	403
964	10800	391
965	10808	380
966	10822	369
967	10838	358
968	10859	347
969	10870	336
970	10879	324
971	10886	313
972	10894	302
973	10901	290
974	10909	279
975	10916	268
976	10927	257
977	10935	245
978	10943	234
979	10951	223
980	10960	212
981	10968	201
982	10976	189
983	10984	178
984	10992	167
985	11000	156
986	11008	145
987	11015	133
988	11025	122
989	11032	111
990	11041	100
991	11049	89
992	11057	77
993	11064	66
994	11073	55
995	11080	44
996	11088	33
997	11099	22
998	11110	11
999	11119	0
